,Unnamed: 0,ticker,pe,tmin,tmax,cs,bvol
205,205,ثتران,11.28,3007,3323,70,4818504
206,206,ولیز,-4.85,5350,5910,58,2747253
207,207,فسدید,-10.31,108328,110516,27,39120
208,208,غنیلی,-833.33,1,999999,42,1
210,210,شغدیر,6.34,74530,82370,44,520000
211,211,بموتو,8.59,62010,68530,31,272160
212,212,وپست,7.36,20370,22510,57,1293380
213,213,درازک,8.88,33330,36830,43,425894
214,214,حتوکا,18.27,17110,18910,60,800854
215,215,کوثر,7.93,12428,13736,66,2594013
216,216,غگل,13.6,3462,3826,42,4024685
217,217,وسهمدا,-1.41,553,611,56,45807348
218,218,بکام,31.33,2433,2689,31,5910165
219,219,تمحرکه,76.16,13373,14199,29,725427
220,220,وآوا,3.22,4793,5297,56,2922838
221,221,تاپیکو,8.22,13760,15200,44,7905138
222,222,شبهرن,9.02,12970,14330,23,4780000
223,223,کروی,10.55,26000,28720,13,965580
224,224,اخابر,38.16,9060,10000,64,12578616
225,225,آتیمس,,174997,213885,68,1
226,226,ختراک,10.91,10810,11930,34,1321586
227,227,کپرور,8.76,32015,35383,10,458786
228,228,خودکفا,16.76,13255,14649,42,2143528
229,229,ولغدر,48.7,16560,18300,58,892857
230,230,وسالت,1.71,1079,1145,57,8992806
231,231,پکرمان,9.31,24410,26970,25,1010600
232,232,جوین,16.41,3605,3827,1,2982096
233,233,تاصیکو,9.97,10450,11530,13,10452962
234,234,دکوثر,33.7,4185,4625,43,3296703
235,235,پارسان,11.1,25670,28370,44,4252303
236,236,قچار,75.96,17532,19376,38,982384
237,237,کفرا,12.96,22300,24640,54,664599
238,238,مرقام,-9.3,14010,15470,72,1023192
239,239,بایکا,192.33,24067,25555,31,403064
240,240,چافست,25.07,12860,14200,22,1131222
241,241,پدرخش,8.45,20480,22620,25,705550
243,243,کترام,17.71,41080,45400,49,347222
244,244,وآرین,5.88,2790,2962,56,3567607
245,245,چکاوه,26.91,12600,13920,21,1149425
246,246,غالبر,29.24,12360,13660,42,1147666
248,248,وملل,92.13,11708,12940,57,4000000
249,249,وسنا,51.92,14652,15558,65,1383443
250,250,وپویا,2.39,4148,4584,56,3427005
251,251,سباقر,16.48,14072,14942,53,687995
252,252,آسامید,,11282,13788,68,1
254,254,زدشت,24.44,18483,20427,1,796094
255,255,وهور,9.22,1517,1675,40,26470514
256,256,فارس,16.28,11030,12190,44,9844135
257,257,فلامی,16.11,21830,24110,28,644607
258,258,ونیکی,9.07,9740,10760,39,7000000
259,259,تنوین,7.93,6390,7050,67,6000000
